               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12467,            0.026041,            0.029289,                   0,                   0,                   0,                   0,            0.098372,            0.021194,            0.024176,            0.070882,           0.0032353,           0.0032353
                   1,             0.11981,            0.026208,            0.028467,          3.9683e-05,            0.015152,          3.6077e-05,          3.6077e-06,            0.097637,            0.021297,            0.024188,            0.040861,            0.006547,            0.006547
                   2,             0.11781,            0.026712,            0.027505,          8.4724e-05,            0.030303,          5.8156e-05,          5.8156e-06,            0.097011,            0.021093,             0.02403,            0.010817,           0.0098366,           0.0098366
                   3,             0.11402,            0.027247,            0.027312,                   0,                   0,                   0,                   0,               0.107,             0.54696,            0.040556,            0.009901,            0.009901,            0.009901
                   4,             0.11055,            0.026829,            0.026594,          0.00022501,            0.052189,          0.00013856,          4.5956e-05,              0.1238,             0.25807,             0.11578,            0.009901,            0.009901,            0.009901
                   5,             0.10609,            0.026055,            0.023668,          0.00020232,            0.045455,          0.00016555,          3.7276e-05,             0.12411,            0.019874,             0.50119,            0.009868,            0.009868,            0.009868
                   6,             0.10078,            0.024126,            0.022257,          0.00080885,             0.18013,           0.0025402,           0.0005303,             0.12265,           0.0081035,             0.30225,            0.009835,            0.009835,            0.009835
                   7,             0.08983,            0.024492,            0.022998,           0.0031983,             0.61279,            0.063672,             0.02056,            0.080332,            0.017017,            0.025624,            0.009802,            0.009802,            0.009802
                   8,            0.082349,            0.022667,            0.019156,             0.53859,             0.12121,            0.049388,            0.010529,             0.10388,            0.012993,            0.044438,            0.009769,            0.009769,            0.009769
                   9,            0.079857,            0.021999,             0.01761,             0.10584,             0.27441,            0.069585,            0.014311,            0.092615,            0.015727,            0.010234,            0.009736,            0.009736,            0.009736
                  10,            0.075799,            0.021604,            0.012629,             0.37629,             0.44444,             0.46553,             0.11391,            0.072953,            0.015918,           0.0068703,            0.009703,            0.009703,            0.009703
                  11,            0.072127,            0.020044,            0.010417,             0.27461,             0.59858,             0.33643,             0.07373,            0.063605,            0.014178,           0.0048862,             0.00967,             0.00967,             0.00967
                  12,            0.068671,            0.019569,           0.0082882,             0.45109,             0.59764,             0.51744,             0.14012,            0.057186,            0.015357,           0.0028399,            0.009637,            0.009637,            0.009637
                  13,            0.067498,            0.018886,           0.0065624,             0.37271,             0.50842,             0.36342,               0.086,            0.064002,            0.012914,           0.0019359,            0.009604,            0.009604,            0.009604
                  14,            0.065168,            0.018074,           0.0062325,             0.37377,             0.59933,             0.63216,             0.19888,            0.045571,            0.015686,           0.0068801,            0.009571,            0.009571,            0.009571
                  15,            0.068085,            0.016822,           0.0053101,             0.75017,             0.29672,             0.29425,            0.063225,            0.054879,            0.015914,            0.034782,            0.009538,            0.009538,            0.009538
                  16,             0.06285,            0.017048,           0.0051265,             0.76302,             0.63419,             0.75337,             0.32337,            0.042029,            0.013069,           0.0010908,            0.009505,            0.009505,            0.009505
                  17,            0.061402,            0.016854,           0.0052316,             0.82617,             0.31481,             0.42533,             0.15077,            0.067769,            0.013659,           0.0023077,            0.009472,            0.009472,            0.009472
                  18,            0.061647,            0.015643,           0.0047968,             0.28971,             0.58754,             0.42132,             0.14044,             0.05332,             0.01465,           0.0049483,            0.009439,            0.009439,            0.009439
                  19,            0.058062,            0.015616,           0.0035943,             0.56263,             0.78451,             0.75375,             0.31891,            0.044705,            0.012322,           0.0088304,            0.009406,            0.009406,            0.009406
                  20,            0.062075,            0.015316,           0.0044281,             0.72058,             0.72026,             0.83904,             0.34675,            0.040818,            0.011484,           0.0018304,            0.009373,            0.009373,            0.009373
                  21,            0.056631,            0.015464,           0.0035102,             0.60959,             0.76518,             0.81676,             0.41515,            0.037975,            0.012004,           0.0033191,             0.00934,             0.00934,             0.00934
                  22,            0.055162,            0.014627,           0.0034579,             0.81605,             0.82128,             0.87278,             0.30618,            0.043452,            0.010504,          0.00095539,            0.009307,            0.009307,            0.009307
                  23,            0.053809,            0.014051,           0.0027767,              0.7341,             0.81072,             0.84816,             0.48766,            0.035552,            0.010772,           0.0017811,            0.009274,            0.009274,            0.009274
                  24,            0.053559,            0.014011,           0.0034038,             0.84204,             0.84191,             0.91204,             0.42322,            0.039081,           0.0096714,           0.0013665,            0.009241,            0.009241,            0.009241
                  25,            0.050066,            0.013154,           0.0030498,             0.81053,             0.84451,             0.89044,             0.41709,            0.038112,           0.0090787,           0.0013073,            0.009208,            0.009208,            0.009208
                  26,            0.052569,            0.013586,           0.0021193,             0.60725,             0.68182,             0.68541,             0.31294,            0.042386,            0.011255,           0.0012466,            0.009175,            0.009175,            0.009175
                  27,            0.048907,            0.013131,           0.0020409,              0.7063,             0.80135,             0.79675,             0.45137,            0.031418,           0.0092606,           0.0010079,            0.009142,            0.009142,            0.009142
                  28,            0.048696,            0.012951,           0.0019332,              0.7955,             0.82574,             0.86753,             0.46065,            0.034234,           0.0094523,          0.00086136,            0.009109,            0.009109,            0.009109
                  29,            0.050633,            0.011625,           0.0017881,             0.73512,             0.89562,             0.87994,             0.46515,            0.032422,           0.0097849,          0.00084812,            0.009076,            0.009076,            0.009076
                  30,            0.049955,            0.012284,           0.0021292,             0.83137,             0.82781,             0.91643,             0.43966,            0.033976,           0.0086879,           0.0010992,            0.009043,            0.009043,            0.009043
                  31,            0.048032,            0.011881,           0.0019729,             0.73964,             0.87222,             0.90898,             0.45314,            0.033607,           0.0093933,          0.00085897,             0.00901,             0.00901,             0.00901
                  32,            0.047864,            0.011969,           0.0020131,             0.69229,             0.80303,             0.92621,             0.40652,            0.036704,            0.010095,           0.0013665,            0.008977,            0.008977,            0.008977
                  33,            0.045593,            0.011716,            0.002007,             0.73455,             0.78381,             0.89493,             0.54636,            0.027101,            0.011003,           0.0011525,            0.008944,            0.008944,            0.008944
                  34,            0.050038,            0.011563,           0.0015706,             0.87702,             0.86532,             0.95128,             0.33355,            0.037771,           0.0081728,            0.001149,            0.008911,            0.008911,            0.008911
                  35,            0.047208,            0.012115,           0.0016943,             0.89703,             0.88097,             0.96738,             0.48622,            0.032505,           0.0091446,           0.0010516,            0.008878,            0.008878,            0.008878
                  36,            0.045626,            0.011467,           0.0017386,              0.8257,             0.96633,             0.95578,             0.53386,            0.031952,           0.0087412,          0.00098534,            0.008845,            0.008845,            0.008845
                  37,            0.043822,            0.011064,           0.0015115,             0.91106,              0.7777,             0.94207,             0.59374,            0.031089,            0.010854,           0.0019067,            0.008812,            0.008812,            0.008812
                  38,            0.045503,            0.010897,           0.0019534,             0.81649,             0.81813,             0.88612,             0.47115,            0.034999,            0.010029,          0.00080096,            0.008779,            0.008779,            0.008779
                  39,            0.044905,             0.01202,           0.0016551,             0.89475,             0.85589,             0.94527,             0.48546,            0.030635,            0.008592,           0.0010007,            0.008746,            0.008746,            0.008746
                  40,            0.042926,              0.0107,             0.00146,             0.92365,             0.86869,             0.96717,             0.54298,            0.029589,           0.0081228,          0.00097001,            0.008713,            0.008713,            0.008713
                  41,            0.042686,            0.010015,           0.0020341,             0.83318,             0.87093,              0.9519,              0.5464,            0.029486,           0.0091538,           0.0014347,             0.00868,             0.00868,             0.00868
                  42,            0.041592,            0.010119,           0.0016643,             0.92876,              0.8165,             0.96463,             0.56029,            0.026405,           0.0075828,          0.00090501,            0.008647,            0.008647,            0.008647
                  43,            0.040051,            0.010253,           0.0011644,             0.93935,             0.93603,             0.98256,             0.61304,            0.024785,           0.0080194,          0.00066366,            0.008614,            0.008614,            0.008614
                  44,            0.041346,            0.010359,           0.0011562,             0.61256,             0.74095,             0.77972,             0.33981,            0.039044,            0.012281,           0.0016698,            0.008581,            0.008581,            0.008581
                  45,            0.040855,            0.010558,           0.0018664,             0.94507,              0.9142,             0.97196,             0.54489,            0.027675,           0.0079047,           0.0010159,            0.008548,            0.008548,            0.008548
                  46,            0.042227,            0.010264,           0.0019501,               0.888,             0.99044,             0.97881,             0.65353,            0.022237,           0.0075749,          0.00079161,            0.008515,            0.008515,            0.008515
                  47,            0.039636,           0.0094766,           0.0010665,             0.91321,             0.96502,             0.98479,             0.58979,            0.027014,           0.0076125,          0.00080484,            0.008482,            0.008482,            0.008482
                  48,            0.041826,           0.0096593,              0.0013,             0.97779,             0.88979,             0.98056,             0.51689,            0.031825,           0.0079509,          0.00096251,            0.008449,            0.008449,            0.008449
                  49,            0.040614,           0.0096175,           0.0015677,             0.94319,             0.98513,             0.99375,             0.61809,            0.025804,           0.0071135,           0.0011362,            0.008416,            0.008416,            0.008416
                  50,            0.041259,           0.0097103,           0.0010791,             0.95349,             0.96459,             0.99259,             0.66124,            0.023533,           0.0071556,          0.00064589,            0.008383,            0.008383,            0.008383
                  51,            0.039609,           0.0093293,           0.0012337,               0.953,             0.91653,             0.97851,             0.62925,            0.024838,           0.0071438,           0.0006745,             0.00835,             0.00835,             0.00835
                  52,            0.040443,           0.0092012,           0.0013923,             0.87693,             0.89729,             0.95522,             0.57339,             0.02554,           0.0082084,          0.00086301,            0.008317,            0.008317,            0.008317
                  53,            0.039204,           0.0094024,           0.0013557,              0.9153,             0.94416,             0.98688,               0.696,            0.020345,           0.0073694,          0.00075963,            0.008284,            0.008284,            0.008284
                  54,            0.038761,           0.0093818,           0.0014721,             0.96554,             0.94993,             0.98666,             0.55057,            0.027048,            0.006915,          0.00084283,            0.008251,            0.008251,            0.008251
                  55,            0.039226,             0.01017,           0.0018154,             0.86644,             0.94712,             0.97842,             0.68365,            0.022203,           0.0072583,          0.00074272,            0.008218,            0.008218,            0.008218
                  56,            0.037189,           0.0087103,           0.0012903,             0.94018,                   1,              0.9925,             0.67071,            0.022398,            0.007254,          0.00088428,            0.008185,            0.008185,            0.008185
                  57,            0.038075,            0.009171,            0.001107,             0.97954,             0.96837,             0.99412,             0.69869,            0.022007,           0.0073655,          0.00074396,            0.008152,            0.008152,            0.008152
                  58,            0.039314,           0.0085243,          0.00086587,             0.95093,              0.9798,             0.98766,             0.59969,            0.027234,           0.0067599,          0.00087096,            0.008119,            0.008119,            0.008119
                  59,            0.038859,           0.0094024,           0.0011418,             0.96057,             0.83333,             0.94833,             0.61628,            0.026488,           0.0082761,          0.00070899,            0.008086,            0.008086,            0.008086
                  60,            0.037325,           0.0090644,           0.0012285,             0.73709,             0.86364,             0.94563,             0.66305,            0.021214,            0.009253,           0.0015031,            0.008053,            0.008053,            0.008053
                  61,            0.038951,           0.0093697,           0.0013638,             0.90324,             0.95455,             0.98967,             0.61867,            0.023904,           0.0072871,           0.0010406,             0.00802,             0.00802,             0.00802
                  62,            0.037052,           0.0081489,           0.0012387,             0.89282,             0.96633,             0.97561,             0.66175,            0.022706,           0.0073163,          0.00075248,            0.007987,            0.007987,            0.007987
                  63,            0.037001,            0.008615,          0.00087983,             0.87144,             0.95129,             0.96714,             0.70442,            0.019931,           0.0080202,           0.0008599,            0.007954,            0.007954,            0.007954
                  64,            0.036061,           0.0083875,          0.00084834,             0.92036,             0.92394,             0.98562,             0.70377,            0.021574,           0.0072809,          0.00066576,            0.007921,            0.007921,            0.007921
                  65,             0.03666,           0.0083197,          0.00085301,             0.94527,             0.96881,             0.99264,             0.67349,            0.023423,           0.0065069,          0.00063499,            0.007888,            0.007888,            0.007888
                  66,            0.035661,           0.0083747,           0.0010273,              0.7769,             0.93566,             0.95034,              0.6529,            0.023113,           0.0083896,           0.0008276,            0.007855,            0.007855,            0.007855
                  67,            0.034056,           0.0097582,           0.0010137,             0.91987,              0.7279,               0.885,             0.60329,            0.025065,            0.011785,          0.00091047,            0.007822,            0.007822,            0.007822
                  68,            0.035464,           0.0085236,          0.00087955,              0.9148,             0.98225,             0.98396,              0.7074,            0.020691,            0.006762,           0.0004523,            0.007789,            0.007789,            0.007789
                  69,            0.037482,           0.0090027,          0.00086445,             0.91866,             0.97102,             0.98607,             0.67201,            0.022974,           0.0069567,          0.00048812,            0.007756,            0.007756,            0.007756
                  70,            0.035817,           0.0084186,           0.0013899,             0.97954,             0.98362,             0.99402,             0.71515,            0.022025,           0.0063909,          0.00071774,            0.007723,            0.007723,            0.007723
                  71,            0.035482,           0.0086874,          0.00098689,             0.90621,             0.95679,              0.9841,             0.74331,            0.020146,           0.0069545,          0.00064332,             0.00769,             0.00769,             0.00769
                  72,              0.0362,           0.0082081,          0.00079291,             0.94235,              0.9782,              0.9911,             0.74965,            0.021048,           0.0065134,          0.00054827,            0.007657,            0.007657,            0.007657
                  73,             0.03404,           0.0082936,          0.00084272,             0.95031,             0.84448,             0.96019,             0.69409,            0.020592,           0.0084033,          0.00061467,            0.007624,            0.007624,            0.007624
                  74,            0.035443,           0.0084534,          0.00093518,             0.97076,             0.98485,             0.97561,             0.64598,            0.022554,           0.0062447,          0.00073535,            0.007591,            0.007591,            0.007591
                  75,            0.035955,           0.0079587,           0.0013281,             0.91014,             0.74242,             0.87635,             0.59988,            0.022252,            0.010227,          0.00084419,            0.007558,            0.007558,            0.007558
                  76,            0.034669,           0.0082563,           0.0010224,             0.94919,              0.9592,             0.98901,             0.72772,            0.018296,           0.0064171,          0.00056588,            0.007525,            0.007525,            0.007525
                  77,            0.033493,           0.0085175,          0.00072908,             0.90826,             0.96409,             0.98037,             0.67873,            0.018795,           0.0066282,          0.00052293,            0.007492,            0.007492,            0.007492
                  78,            0.034263,           0.0079778,           0.0013744,             0.91725,              0.9697,              0.9884,             0.72581,            0.018773,           0.0066301,          0.00077524,            0.007459,            0.007459,            0.007459
                  79,            0.033612,           0.0081553,           0.0016806,             0.93107,             0.95516,             0.99006,              0.6871,            0.021333,           0.0064902,           0.0006457,            0.007426,            0.007426,            0.007426
                  80,            0.036329,           0.0078896,           0.0011172,             0.85024,             0.93939,              0.9845,             0.69278,            0.022354,           0.0073151,          0.00055475,            0.007393,            0.007393,            0.007393
                  81,            0.033301,           0.0079191,          0.00093856,             0.98841,             0.97545,             0.99456,             0.73942,            0.019505,           0.0063388,          0.00064321,             0.00736,             0.00736,             0.00736
                  82,            0.032914,           0.0076814,          0.00071846,             0.93137,              0.9798,               0.995,              0.7651,            0.017232,           0.0062013,           0.0006391,            0.007327,            0.007327,            0.007327
                  83,            0.032665,           0.0082231,          0.00078575,             0.93699,             0.98911,             0.99157,             0.72119,             0.02005,            0.006252,          0.00049907,            0.007294,            0.007294,            0.007294
