               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12507,            0.024557,            0.029237,          0.00067308,             0.16498,          0.00042741,             0.00011,            0.087795,            0.021149,            0.022684,              0.0847,              0.0017,              0.0017
                   1,             0.10127,            0.021729,            0.024407,           0.0019147,             0.45791,           0.0026982,          0.00096943,            0.071536,            0.021975,            0.021259,            0.068488,           0.0034885,           0.0034885
                   2,            0.087222,            0.022266,             0.02167,           0.0053084,             0.98148,            0.051501,            0.016664,            0.056738,            0.022677,            0.020499,            0.052265,            0.005265,            0.005265
                   3,            0.074225,            0.021937,            0.019191,            0.092682,             0.69024,             0.33229,            0.095821,            0.062252,            0.018308,            0.015793,             0.03603,           0.0070297,           0.0070297
                   4,            0.075408,            0.018427,            0.013132,            0.072817,              0.3468,            0.072772,            0.016596,            0.082674,            0.010979,           0.0068665,            0.019783,           0.0087825,           0.0087825
                   5,            0.073043,            0.016136,           0.0092936,             0.42295,             0.79703,             0.50647,             0.16703,            0.058315,            0.014773,           0.0034347,            0.009835,            0.009835,            0.009835
                   6,            0.068093,            0.014708,           0.0070824,             0.48924,             0.83685,             0.61457,             0.24518,            0.064826,            0.011163,            0.002377,            0.009835,            0.009835,            0.009835
                   7,            0.063769,            0.013893,           0.0058573,              0.3202,             0.68422,             0.40334,             0.15739,            0.059036,            0.014983,           0.0018942,            0.009802,            0.009802,            0.009802
                   8,            0.061388,            0.012739,           0.0045755,             0.48819,             0.78956,             0.59732,             0.23553,            0.054709,            0.012597,           0.0016321,            0.009769,            0.009769,            0.009769
                   9,            0.055899,            0.012318,           0.0038749,             0.44309,             0.91388,             0.60386,             0.28173,            0.043641,            0.011901,            0.001521,            0.009736,            0.009736,            0.009736
