               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12682,            0.017543,            0.017937,           0.0005863,             0.14646,          0.00048472,            0.000108,            0.090086,            0.015596,            0.014603,              0.0847,              0.0017,              0.0017
                   1,             0.10496,            0.015079,             0.01552,            0.001372,             0.29966,           0.0013463,          0.00032926,            0.072837,            0.016174,            0.013784,             0.06849,           0.0034895,           0.0034895
                   2,            0.088711,            0.015649,            0.014699,           0.0023542,             0.59428,           0.0025334,          0.00099374,            0.063159,            0.017442,            0.013533,            0.052268,           0.0052682,           0.0052682
                   3,            0.074978,            0.015769,             0.01442,           0.0043475,             0.94444,            0.024123,            0.008344,            0.050513,            0.017797,            0.013028,            0.036036,           0.0070361,           0.0070361
                   4,            0.069425,            0.015944,             0.01415,            0.003937,             0.87037,            0.021041,           0.0077305,            0.061734,            0.013769,            0.012638,            0.019793,           0.0087932,           0.0087932
                   5,             0.06514,            0.016151,            0.014391,             0.72783,            0.030303,             0.18359,            0.060125,            0.053629,            0.013958,            0.012675,             0.00985,             0.00985,             0.00985
                   6,            0.062404,            0.014482,            0.013986,              0.4617,             0.23401,             0.34541,             0.10649,            0.049102,              0.0133,             0.01229,             0.00985,             0.00985,             0.00985
                   7,            0.058631,            0.013472,            0.013364,             0.38443,             0.39542,             0.41087,             0.16526,            0.046626,            0.013763,            0.011153,             0.00982,             0.00982,             0.00982
                   8,            0.056511,            0.012799,            0.012189,             0.44732,             0.62458,             0.56953,             0.30989,            0.038274,            0.013311,           0.0095206,             0.00979,             0.00979,             0.00979
                   9,            0.054483,            0.011427,            0.010367,             0.43578,             0.62121,             0.58448,             0.21859,            0.043759,            0.011494,           0.0078836,             0.00976,             0.00976,             0.00976
                  10,             0.05414,              0.0105,           0.0089861,             0.51352,             0.85859,             0.69502,             0.30425,             0.04105,            0.011099,           0.0070871,             0.00973,             0.00973,             0.00973
                  11,            0.051491,           0.0099598,           0.0081059,             0.65592,              0.9103,             0.81042,              0.3971,            0.033757,            0.010638,           0.0054208,              0.0097,              0.0097,              0.0097
                  12,            0.050812,           0.0091989,            0.006468,              0.4281,             0.87616,             0.56488,             0.26118,            0.037039,            0.012198,             0.00456,             0.00967,             0.00967,             0.00967
                  13,            0.049449,           0.0093755,           0.0058852,             0.92572,             0.97967,             0.96797,             0.55955,            0.028834,            0.010079,           0.0045394,             0.00964,             0.00964,             0.00964
                  14,            0.048719,             0.00802,           0.0050963,             0.88028,             0.97706,             0.95286,             0.50058,            0.029664,           0.0092527,           0.0034362,             0.00961,             0.00961,             0.00961
                  15,             0.04857,           0.0084939,           0.0043051,             0.77849,             0.98485,             0.88679,             0.42718,            0.035194,           0.0086163,            0.002753,             0.00958,             0.00958,             0.00958
                  16,            0.046105,           0.0084866,           0.0038497,             0.87032,                   1,              0.9689,             0.59314,            0.027689,             0.00899,           0.0028283,             0.00955,             0.00955,             0.00955
                  17,            0.046052,           0.0075073,           0.0037882,             0.77785,             0.93939,             0.90257,             0.51702,            0.037024,           0.0077747,           0.0025358,             0.00952,             0.00952,             0.00952
                  18,            0.045421,           0.0074352,           0.0033785,             0.86202,              0.9767,             0.93821,             0.48375,            0.030206,           0.0076646,           0.0020385,             0.00949,             0.00949,             0.00949
                  19,            0.045949,           0.0072041,           0.0030208,             0.92906,             0.99257,             0.97246,             0.46027,            0.032181,            0.007427,           0.0018328,             0.00946,             0.00946,             0.00946
                  20,            0.045495,           0.0074088,           0.0028806,             0.94591,             0.99881,             0.97539,             0.61562,            0.025797,           0.0074087,           0.0017029,             0.00943,             0.00943,             0.00943
